AK,Alaska
KY,Kentucky
NY,New York
AL,Alabama
LA,Louisiana
OH,Ohio
AR,Arkansas
MA,Massachusetts
OK,Oklahoma
AZ,Arizona
MD,Maryland
OR,Oregon
CA,California
ME,Maine
PA,Pennsylvania
CO,Colorado
MI,Michigan
RI,Rhode Island
CT,Connecticut
MN,Minnesota
SC,South Carolina
DC,District of Columbia
MO,Missouri
SD,South Dakota
DE,Delaware
MS,Mississippi
TN,Tennessee
FL,Florida
MT,Montana
TX,Texas
GA,Georgia
NC,North Carolina
UT,Utah
HI,Hawaii
ND,North Dakota
VA,Virginia
IA,Iowa
NE,Nebraska
VT,Vermont
ID,Idaho
NH,New Hampshire
WA,Washington
IL,Illinois
NJ,New Jersey
WI,Wisconsin
IN,Indiana
NM,New Mexico
WV,West Virginia
KS,Kansas
NV,Nevada
WY,Wyoming
